question,topic,relevant
"How to create a painting?",Quantum Computing: The Next Frontier,0
"Can quantum computing improve medical imaging?",Quantum Computing: The Next Frontier,1
"What is quantum teleportation?",Quantum Computing: The Next Frontier,1
"How does quantum computing solve optimization problems?",Quantum Computing: The Next Frontier,1
"How to clean windows?",Quantum Computing: The Next Frontier,0
"What is the role of quantum circuits in computation?",Quantum Computing: The Next Frontier,1
"Can quantum computers predict stock market trends?",Quantum Computing: The Next Frontier,1
"How to play a guitar?",Quantum Computing: The Next Frontier,0
"Can quantum computing enhance supply chain management?",Quantum Computing: The Next Frontier,1
"How does quantum computing transform data processing?",Quantum Computing: The Next Frontier,1
"What are the breakthroughs in quantum research?",Quantum Computing: The Next Frontier,1
"How to cook an omelette?",Quantum Computing: The Next Frontier,0
"Can quantum computing solve real-world problems?",Quantum Computing: The Next Frontier,1
"What are the innovations in quantum hardware?",Quantum Computing: The Next Frontier,1
"How to drive a car?",Quantum Computing: The Next Frontier,0
"Can quantum computing optimize energy usage?",Quantum Computing: The Next Frontier,1
"What is the role of quantum networks?",Quantum Computing: The Next Frontier,1
"How to make paper airplanes?",Quantum Computing: The Next Frontier,0
"Can quantum computers analyze financial risk?",Quantum Computing: The Next Frontier,1
"What is the impact of quantum computing on AI development?",Quantum Computing: The Next Frontier,1
"What is Augmented Reality (AR)?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does Virtual Reality (VR) work?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the differences between AR and VR?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to bake cookies?",Augmented Reality (AR) and Virtual Reality (VR),0
"What industries use AR and VR technologies?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can AR be used in retail for immersive shopping?",Augmented Reality (AR) and Virtual Reality (VR),1
"What is the capital of Germany?",Augmented Reality (AR) and Virtual Reality (VR),0
"How does VR enhance gaming experiences?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the challenges in developing AR applications?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to train a dog?",Augmented Reality (AR) and Virtual Reality (VR),0
"What is the role of AR in healthcare?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can VR improve education and training?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does AR integrate with IoT devices?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to make a cup of tea?",Augmented Reality (AR) and Virtual Reality (VR),0
"Can VR simulate real-world environments for training?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are AR-based navigation systems?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the environmental benefits of AR?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to grow plants?",Augmented Reality (AR) and Virtual Reality (VR),0
"What is the importance of AR in marketing?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does VR enhance architectural visualization?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are AR glasses?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to write an essay?",Augmented Reality (AR) and Virtual Reality (VR),0
"Can VR be used in mental health therapy?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does AR benefit manufacturing processes?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the ethical concerns of AR and VR?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to cook pasta?",Augmented Reality (AR) and Virtual Reality (VR),0
"What is the future of AR and VR technologies?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can VR be used for immersive storytelling?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the hardware requirements for VR headsets?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to repair a bicycle?",Augmented Reality (AR) and Virtual Reality (VR),0
"What is spatial computing in AR?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can AR be used in museums for interactive exhibits?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the limitations of VR in healthcare?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does AR transform e-commerce?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to drive a car?",Augmented Reality (AR) and Virtual Reality (VR),0
"Can VR improve workplace collaboration?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does AR enhance sports viewing?",Augmented Reality (AR) and Virtual Reality (VR),1
"What is the significance of haptic feedback in VR?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to make a paper airplane?",Augmented Reality (AR) and Virtual Reality (VR),0
"Can AR be used in real estate for virtual tours?",Augmented Reality (AR) and Virtual Reality (VR),1
"What is the role of AR in gaming?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are VR content creation tools?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to build a wooden table?",Augmented Reality (AR) and Virtual Reality (VR),0
"Can VR be used for environmental simulations?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does AR impact education?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can VR help people with disabilities?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does AR enable remote assistance?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to make a smoothie?",Augmented Reality (AR) and Virtual Reality (VR),0
"What is the role of AR in city planning?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can VR be used for virtual tourism?",Augmented Reality (AR) and Virtual Reality (VR),1
"How does AR integrate with AI?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to play chess?",Augmented Reality (AR) and Virtual Reality (VR),0
"Can VR enhance user experience in product design?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the key technologies behind AR?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can AR improve worker safety in industries?",Augmented Reality (AR) and Virtual Reality (VR),1
"What are the innovations in VR hardware?",Augmented Reality (AR) and Virtual Reality (VR),1
"How to create a digital art piece?",Augmented Reality (AR) and Virtual Reality (VR),0
"What is the importance of AR in military applications?",Augmented Reality (AR) and Virtual Reality (VR),1
"Can VR be used for stress relief?",Augmented Reality (AR) and Virtual Reality (VR),1
"What industries benefit from robotics?",Robotics and Automation,1
"What is the role of robots in healthcare?",Robotics and Automation,1
"How are robots used in space exploration?",Robotics and Automation,1
"What are autonomous robots?",Robotics and Automation,1
"How do robots assist in disaster relief?",Robotics and Automation,1
"What is the future of robotics in automation?",Robotics and Automation,1
"How does robotics help in precision agriculture?",Robotics and Automation,1
"What are collaborative robots?",Robotics and Automation,1
"How do industrial robots enhance production lines?",Robotics and Automation,1
"How does robotics improve warehouse management?",Robotics and Automation,1
"What are the ethical concerns surrounding robotics?",Robotics and Automation,1
"How does robotics help in surgical procedures?",Robotics and Automation,1
"What are the latest advancements in robotics?",Robotics and Automation,1
"How does automation impact manufacturing efficiency?",Robotics and Automation,1
"Can robots replace human workers?",Robotics and Automation,1
"What are industrial robots used for?",Robotics and Automation,1
"What is robot programming?",Robotics and Automation,1
"How do robots contribute to the future of autonomous vehicles?",Robotics and Automation,1
"How are robots used in construction?",Robotics and Automation,1
"What is robot vision and how does it work?",Robotics and Automation,1
"How can robots assist with elderly care?",Robotics and Automation,1
"How do robots help in food production?",Robotics and Automation,1
"How do robots contribute to smart homes?",Robotics and Automation,1
"How are robots used in mining?",Robotics and Automation,1
"How do robots increase safety in hazardous environments?",Robotics and Automation,1
"What are the safety standards for industrial robots?",Robotics and Automation,1
"How are robots changing the transportation industry?",Robotics and Automation,1
"How do robots help in the logistics industry?",Robotics and Automation,1
"What is the role of AI in robotics?",Robotics and Automation,1
"How does machine learning enhance robotics?",Robotics and Automation,1
"What is a robotic arm?",Robotics and Automation,1
"How do exoskeleton robots work?",Robotics and Automation,1
"How does robotics enhance efficiency in supply chains?",Robotics and Automation,1
"What are the most common types of robots?",Robotics and Automation,1
"How do robots help with hazardous material handling?",Robotics and Automation,1
"What is robotic process automation (RPA)?",Robotics and Automation,1
"How do self-driving cars use robotics?",Robotics and Automation,1
"How do drones work in search and rescue?",Robotics and Automation,1
"What are the components of a robot?",Robotics and Automation,1
"What challenges do robots face in real-world applications?",Robotics and Automation,1
"How do robots assist in underwater exploration?",Robotics and Automation,1
"How do robots improve customer service?",Robotics and Automation,1
"What are the key features of a robot?",Robotics and Automation,1
"How does robotic automation affect the labor market?",Robotics and Automation,1
"How are robots used in recycling?",Robotics and Automation,1
"How do robots contribute to waste management?",Robotics and Automation,1
"What is autonomous robot navigation?",Robotics and Automation,1
"How do robots learn to adapt to new tasks?",Robotics and Automation,1
"What are the environmental impacts of robotics?",Robotics and Automation,1
